,Titulo,Enlace
0,Instalacion Python,https://www.youtube.com/embed/rVUjEp9GAOM?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
1,Editores Python,https://www.youtube.com/embed/0QR6v0YrznA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
2,Tipos de datos basicos,https://www.youtube.com/embed/U0mqcrZUZbE?list=PLhr9YdZStgI3gfGKu3HGAJkCQHPZIzD8W
3,Ejecucion de scripts,https://www.youtube.com/embed/4jUIVxYLFkk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
4,Variables,https://www.youtube.com/embed/gtJG9ZgqZkA?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
5,Condicional If,https://www.youtube.com/embed/l29BRkOMl_o?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
6,Bucle while,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
7,Bucle for,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
8,Funciones,https://www.youtube.com/embed/uSU7zgZ45xo?list=PLhr9YdZStgI1TOxvw7KEF4OzduyGr6FBD
9,Calculadora basica,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
10,Funcion anonima,https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
11,Funciones utiles,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
12,Modulos,https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
13,Modulos propios,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
14,"Lectura, escritura archivos",https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
